codfornec,nome,nomefantasia,bairro,cep,campolivre1,campolivre2,cgccpf,codcidade,codtipo,contacx,contato,ctctbred,endereco,estado,fax,fone,inscest,observacao,pessoa_fj,homepage,email,ativo,codcliente,celular,inscmunicipal,codmunicipio,tipofornece,comissao,complemento,numero,optantesimples,identificacao,caracteristica_tributaria,detalhe_regime,regimetributario
000011,LAMINACAO VALE JAGUARIBE LTDA - MOLAS TABULEIRO,LAMINACAO VALE / MOLAS TABULEIRO,GENIPABU,61616050,,,10429917000160,00932,001,0207001,SERVO - ISABELA,,AVENIDA CRUZEIRO DO SUL KM 18,CE,8834243000,7536230627,063699486,"MOLASTABULEIRO@MOLASTABULEIRO.COM.BR   (TELEFONE DO FINANCEIRO  (85)99958-0063, ALAN,VITORIA,VANDERLEIA.",J,www.molastabuleiro.com.br,pesados@servo.com.br,S,,8834243131,,,7,0,KM 18,S/N,,0,99,99,99
000012,HF SISTEMAS DE FREIO LTDA - HIPPER FREIOS,HIPPER FREIOS,MORRO GRANDE,88717000,,,09075317000242,04535,001,0207001,CLAUDIO - RBR REP,,"RODOVIA BR 101, KM 360",SC,,4836563000,257428984,"RBR Ricardo Bernadino Rep. Ltda - Rua Portugal, 5/7 - ComArcio - Salvador - CEP: 40015-000
Fone: (71) 3241-5080 - Fax: (71) 3242-8837 - Contato - Ricardo (71) 8199-3525
E-mail: rbrltda@terra.com.br
DESCONTO APLICADO: 59,75+4,24+4+4  PRAZO: 14/21 DIAS",J,www.hipperfreios.com.br,alissonwenzel@hotmail.com,S,00001936,75991436892,,,7,0,S/N,S/N,,0,99,99,99
000013,CEQUENT INDUSTRIA E COMERCIO LTDA - DHF,DHF - REBOQUES CARTER PROTETORES,QUINTA DA BOA VISTA,08597630,,,01859648000261,03529,001,0207001,ERICK GUSTAVSSOM REP,,RUA FLOR DE NOIVA,SP,1146467300,7532255083,379177207118,"ENDEREAO: Rua Domingos Barbosa de Araujo, 225, Sala 202, KalilAndia, Feira de Santana-BA, CEP 44001-216
TELEFONES: (75) 3225-5083  / 3624-3185 
E-MAILS: erick@gustavssom.com / gustavssom@gustavssom.com / comercial@gustavssom.com",J,www.dhf.com.br,comercial@gustavssom.com,S,,7591336776,,,7,0,,800,,0,99,99,99
000014,SINTECH DO BRASIL,SINTECH,BOQUEIRAO,81650040,,,01027688000166,04003,002,0207001,CHRYS REPRESENTACOES,,RUA CARLOS DE LAET,PR,,7536234560,9050399467,"RAFAEL: 29/11/19 
* REPRESENTANTE: CHRYS REPRESENTACOES DE PECAS LTDA.
* EMAIL: CHRYS.BA@HOTMAIL.COM
* DESCONTO APLICADO: 64,10%
* FRETE: CIF 
* PRAZO: 30/60/90 DD 
DIRETOR: JORGE (41) 9957-1098",J,www.sintechdobrasil.com.br,chrysechrys@uol.com.br,S,,7588020236,,,7,0,,4431,,0,99,99,99
000015,BZM IND E COM DE AUTOPECAS LTDA,BZM - IMPULSORES,BARRACAO,89110000,,,03608391000110,04404,001,0207001,CLAUDIO - RBR REP,,"RODOVIA IVO SILVEIRA, KM 11",SC,4732415080,7536121898,254012051,"VENDENDOR CLAUDIO - ESPECIAL 50X50 - FRETE FOB
RBR Ricardo Bernadino Rep. Ltda - Rua Portugal, 5/7 - ComArcio - Salvador - CEP: 40015-000
Fone: (71) 3241-5080 - Fax: (71) 3242-8837 - Contato - Ricardo (71) 8199-3525 - E-mail: rbrltda@terra.com.br
FONE: (47) 3332-7053 - EMAIL: bzm@bzm.com.br
ENDEREAO: Rodovia Ivo Silveira, 10.466 - Gaspar - SC - Brasil",J,www.bzm.com.br,alissonwenzel@hotmail.com,S,,75991436892,,,7,0,,10466,,0,99,99,99
000016,ORBI QUIMICA LTDA,ORBI QUIMICA,JARDIM CAPITOLIO,13610410,,,07704914000182,03566,001,0207001,BCR REPRESENTACOES,,AVENIDA MARIA HELENA,SP,1935737500,7133292222,415129461116,"BCR BERNARDINO
Contato: Bernardino/Marcia Telefone: 71 3329 2222 / 9144 9606 E-mail: sac@bcrbernardino.com.br",J,www.orbiquimica.com.br,sac@bcrbernardino.com.br,S,,7191449606,,,7,0,,600,,0,99,99,99
000017,MW JUNTAS COM P/ ATACADO DE PCS ACESS E JUNTAS,BASTOS JUNTAS,JARDIM GUANABARA,60346205,,,03208617000195,00947,001,0207001,CLAUDIO - ALLANA REP,,RUA CECIL SALGADO,CE,8532821583,,062844474,"Bastos Juntas Fortaleza
Telefone:(85)3282-1583
Fax:(85)3282-2236
Nextel: 55*80*30966
e-mail: vendas@bastosjuntas.com.br",J,www.juntas.com.br,allana_bahia@hotmail.com,S,,7588366892,,,7,0,,228,,0,99,99,99
000018,ETESSADAHNIAR INDUSTRIA E COM DE AUTOPECAS LTDA,RAINHA DAS SETE,VILA SOUZA,02860001,,,61033155000119,03827,001,0207001,BCR REPRESENTACOES,,AVENIDA DEPUTADO CANTIDIO SAMPAIO,SP,1128567300,7133292222,112486303114,"BCR BERNARDINO
Contato: Bernardino/Marcia Telefone: 71 3329 2222 / 9144 9606 E-mail: sac@bcrbernardino.com.br",J,www.rainhadassete.com.br,sac@bcrbernardino.com.br,S,,7191449606,,,7,0,,6100,,0,99,99,99
000019,ORGUS INDUSTRIA E COMERCIO LTDA,ORGUS,PORTAO VERMELHO,06730000,,,51171783000107,03898,001,0207001,SULCON REP,,RUA FRANCISCA MANOEL DE OLIVEIRA,SP,7532250273,7532213513,720005608111,"SULCON COMARCIO REPRESENTAAAO LTDA. ENDEREAO: Rua Castro Alves, 364, Centro, Feira de Santana  (BA),      CEP: 44003.198. FONE: Tel: (75) 3221-3513  A Cel. (75) 9955-7750 / (74) 9117-7500      Res: 3225-0273
e-mail: sulcon.rep@hotmail.com
SAC - ORGUS: (11) 4158-8686. E-MAIL: contato@orgus.com.br",J,www.orgus.com.br,sulcon.rep@hotmail.com,S,,7491177500,,,7,0,,602,,0,99,99,99
000020,CODISA DISTRIBUIDORA DE AUTOPECAS LTDA,COFRAN - LANTERNAS,PARQUE JOAO RAMALHO,09290260,,,11477100000120,03595,001,0207001,VISAC - FATIMA,,AVENIDA SOROCABA,SP,1129452700,7536230627,626561334115,,J,www.cofran.com.br,fatima@servo.com.br,S,,,,,7,0,,472,,0,99,99,99
000021,SPAAL INDUSTRIA E COMERCIO LTDA,SPAAL JUNTAS DYNAMIC RETENTORES,JARDIM SAO JUDAS TADEU,06786510,,,46270518000146,03853,001,0207001,OTON - IMPACTO,,RUA VICENTE LEPORACE,SP,7133419277,7133411586,675039061110,"SPAAL IND. E COM. LTDA.
Rua Vicente Leporace, 270
Bairro Jardim SAo Judas Tadeu - TaboAo da Serra - SP - Brasil - 06786-510
Tel.: (11) 4138-8022 - Fax: (11) 4137-0727",J,www.spaal.com.br,vendas@repimpacto.com,S,,7188146207,,,7,0,,270,,0,99,99,99
000022,COTEC INDUSTRIA DE AUTOPECAS E ACESSORIOS LTDA,COFRAN - RETROVISORES,CERAMICA,09530460,,,03406665000198,03810,001,0207001,,,RUA TENENTE ANTONIO JOAO,SP,1139379660,,636272210117,"A COFRAN SEPAROU A PARTE DE LANTERNAS (QUE CONTINUARAM COFRAN) DA PARTE DE RETROVISORES, QUE USAM A RAZAO SOCIAL COTEC.",J,,,S,,,,,7,0,,470,,0,99,99,99
000023,DAYCO POWER TRANSMISSION LTDA,DAYCO - CORREIAS TENSORES CABO IGNICAO,DISTRITO INDUSTRIAL DOMINGOS,13347320,,,01083192000290,03500,001,0207001,MANOELA,,EDUARDO BORSARI,SP,1939344050,1131464770,353418457110,"SUPERVISOR DE VENDAS: WELLINGTON SALLES 
DESCONTO: 50+2+2,5% 
PRAZO:28/35/42 
EXISTE REBATE DE 3%, O ANO FECHA EM FEVEREIRO",J,www.dayco.com.br,manoela.mendes@dayco.com,S,01007985,7191083910,,,7,0,GALPAO 01,2475,,0,99,99,99
000024,AUTO NORTE DIST PECAS LTDA PE,AUTO NORTE,VARZEA,50950150,,,11509676000555,01594,003,0207003,DJALMA/THIAGO,,PROFESSOR NESTOR BEZERRA,PE,75988425929,8121252000,047408820,,J,,garantia.ba@autonorte.com.br,S,02000394,87988359195,,,7,0,CUC,266 B,,0,99,99,99
000025,TECBRIL INDUSTRIA QUIMICA LTDA,TECBRIL,VILA DINAMARCA,07251100,,,04176770000140,03477,001,0207001,COSTA DA SOFAPE,,COLINA,SP,,0800150288,336661551116,"FINANCEIRO - 0800-770-5860
COMERCIAL - 0800-15-0288",J,www.tecbril.com.br,,S,,75999774546,,,7,0,PREDIO GALPAO 6,S/N,,0,99,99,99
000026,CARRHEL ARTEFATOS DE TAPECARIA LTDA,CARRHEL,JARDIM CHAPADAO,13070017,,,04084020000149,03373,001,,,,RUA QUINTINO BOCAIUVA,SP,,1932411570,244635332114,,J,www.carrhel.com.br,,S,,,,,7,0,,378,,0,99,99,99
000027,LUMAX - IND COM IMPORTADORA E EXPORTADORA LTDA,LUMAX - PARACHOQUES,PORTAO VERMELHO,06730000,,,14562779000143,03898,001,0207001,,,RUA FRANCISCO MANOEL DE OLIVEIRA,SP,,1141591028,720016006115,,J,www.lumaxautomotive.com.br,vendas@lumaxautomotive.com,S,,,,,7,0,,602A,,0,99,99,99
000028,DPF AUTOPECAS LTDA - DTS PARACHOQUES,DTS DPF - PARACHOQUES,SITIO JUQUERI MIRIM,07753040,,,05910160000191,03368,001,0207001,SUZY MAGALHAES,,RUA OSASCO,SP,,1144464100,241080029117,FONE: 0800-17-1127 - suzy.magalhaes@dtsparachoques.com.br,J,www.dpfautopecas.com.br,dtsparachoques@dtsparachoques.com.br,S,,,,,7,0,ROD ANHANGUERA KM33,1129,,0,99,99,99
000029,GONEL INDUSTRIA E COMERCIO LTDA,GONEL - RESERVATORIOS E MANGOTES,VILA NOGUEIRA,09990080,,,72717663000132,03827,001,0207001,BCR BERNARDINO,,DOUTOR ULYSSES GUIMARAES,SP,1156683200,7133292222,286314696112,"VENDEDORES INTERNOS: ADRIELE, VANESSA E LUCAS.
VENDEDOR EXTERNO: CLAUDIO (71) 99144-9606
BERNAR: (71) 99244-3397 / BERNARDINO: (71) 99144-9606
RAFAEL 18/01/2020
FRETE: FOB
IPI: 5%
DESCONTO APLICADO: 63,07+11,83+3% DO AVISTA.",J,www.gonel.com.br,televendas@bcrbernardino.com.br,S,,7192443397,,,7,0,,3179,,0,99,99,99
000030,DNI - DANI CONDUTORES ELETRICOS LTDA,DNI,BAIRRO DO LIMAO,02712140,,,63023006000102,03827,002,0207001,VISAC - FATIMA,,RUA MAESTRO GABRIEL MIGLIORI,SP,7536230627,1139338888,112726234117,,J,www.dni.com.br,fatima@servo.com.br,S,01008266,,,,7,0,,166,,0,99,99,99
000031,FLEX COMERCIO DE PECAS AUTOMOTIVAS LTDA,FLEX AUTOMOTIVE SYSTEM,PARQUE SO VICENTE,09371067,,,05975528000108,03595,001,0207001,ALISSON,,CLARISSE DE JESUS LAZARO BEDESCHI,SP,,1145466580,442213042110,,J,www.flexautomotive.com.br,flex@flexautomotive.com.br,S,,75999855656,,,7,0,,191,,0,99,99,99
000032,MARKAUTO IND. COM. AUTOPECAS LTDA,MARKAUTO,VILA ESPERANAA,03650030,,,11317665000140,03827,001,0207001,KAYO - ANTONIO CARLO,,RUA MONTES AUREOS,SP,1126455207,1127931860,148880535110,KAIO - ANTONIO CARLOS ANDREANI - (11) 99972-3430 - kayosbor@yahoo.com.br,J,,mk-markauto@hotmail.com,S,,11999723430,,,7,0,,111,,0,99,99,99
000033,ISAPA IMPORTACAO E COMERCIO LTDA,ISAPA,VALPARAISO,29165791,,,61327045000674,03164,003,0207001,,,AVENIDA GUARAPARI,ES,8007020801,8007022575,082889090,"RAFAEL 05/08/21: DESCONTO: 50+12+7% (+ ( DESCONTO LINHA 5%) ACIMA DE 20 MIL TEM + 7% 
NEGOCIACAO, + 3% EM CIMA DAS COMPRAS DE AGOSTO E SETEMBRO, SE A GENTE BATER A META ESTIPULADA DE 80 MIL",J,www.isapa.com.br,sac01@isapa.com.br,S,,,,,7,0,,799,,0,99,99,99
000034,NORDESTE VAN DISTRIBUIDORA DE AUTOPECAS LTDA EPP,NORDESTE VAN,CENTENARIO,44050656,,,10846975000199,01955,003,0207001,,,AVENIDA EDUARDO FROES DA MOTA,BA,,7536143737,82995232,nordestevan@hotmail.com,J,www.nordestevan.com.br,vendas@nordestevan.com.br,S,,,,,7,0,.,6060,,0,99,99,99
000035,LUPORINI DISTRIBUIDORA DE AUTOPECAS LTDA,LUPORINI-SP,BOM RETIRO,01130000,,,50276898000101,03827,003,0207001,,,ANHAIA,SP,1121055027,1121055000,110071408118,sac@luporini.com.br,J,www.luporini.com.br,vendas@luporini.com.br,S,,,,,7,0,987B/987/983,995,,0,99,99,99
000036,BEZERRA E OLIVEIRA COMERCIO DE AUTOPECAS LTDA,BEZERRA OLIVEIRA,CENTRO,60015061,,,07221070000119,00947,003,0207001,,,RUA PRINCESA ISABEL,CE,,8007019722,061020605,,J,,,S,,,,,7,0,07221070000119,1185,,0,99,99,99
000037,ZINNI E GUELL LTDA,ZINNI E GUELL,BONSUCESSO,07251000,,,61603288000183,03477,001,0207001,JUNEI-REPRESENTANTE,,ESTRADA DA AGUA CHATA,SP,08007701425,1124804448,336390405113,"Departamentos:	E-mails:
 	 
Vendas	vendas@zinnieguell.com.br / marisa@zinnieguell.com.br
Financeiro	financeiro@zinnieguell.com.br
CobranAa	cobranca@zinnieguell.com.br
Suprimentos	suprimentos@zinnieguell.com.br
SAC	sac@zinnieguell.com.br
RH	marina@zinnieguell.com.br",J,www.zinnieguell.com.br,vendas@zinnieguell.com.br,S,,,,,7,0,PARQUE MARIA HELENA,1233,,0,99,99,99
000091,TECOVEL HIGIENE AUTOMOTIVO LTDA,TECOVEL,PINTAGUEIRAS,42700000,,,01657687000103,02055,001,,,,AV BRIG. ALBERTO CPSTA MATOS,BA,,7133796003,45856318,,J,,,S,,,,,,0,,740,,0,99,99,99
000038,AUTOPECAS PADRE CICERO LTDA,PADRE CICERO,MONTESE,60420432,,,07965809000520,00947,003,0207001,CICERO - REPRESENTAN,,AVENIDA PROFESSOR GOMES DE MATOS,CE,,8540095098,069674914,,J,www.pecicero.com.br,nfe.atacado@pecicero.com.br,S,00025242,7988774507,,,7,0,.,1337,,0,99,99,99
000039,DIRETEC IND E COM DE AUTOPECAS LTDA,DIRETEC,CIDADE DABRIL,05182000,,,96660212000174,03827,001,0207001,BCR BERNARDINO,,RUA MAURO DE ARAUJO RIBEIRO,SP,1122315633,1122314230,113829542117,"BCR BERNARDINO
Contato: Bernardino/Marcia Telefone: 71 3329 2222 / 9144 9606 E-mail: sac@bcrbernardino.com.br",J,www.diretec.com.br,diretec@diretec.com.br,S,01007181,,,,7,0,,132,,0,99,99,99
000040,CORCERAMA COMERCIO DE AUTOPECAS LTDA,CORCERAMA,VILA MARTE,04250000,,,43720341000144,03827,003,0207001,,,RUA BUDAPESTE,SP,03001558579,1129692266,109022833115,TEM PARTE ESPECIAL,J,www.corcerama.com.br,suporte@corcerama.com.br,S,,71991345532,,,7,0,ARMAZEM 01 - SACOMA,502,,0,99,99,99
000041,CAROL IND E COM DE PRODUTOS METALURGICOS LTDA,CRL,JARDIM CARAVELAS,04729000,,,62190848000188,03827,001,0207001,,,RUA MISSIONARIOS,SP,1155632226,1156412493,112693113112,,J,www.carolcar.com.br,contato@carolcar.com.br,S,,,,,7,0,VARZEA DE BAIXO,462,,0,99,-1,-1
000042,RIVERPLAST INDUSTRIA E COMERCIO DE PLASTICO,RIVERPLAST,INDUSTRIAL,83880000,,,86800489000100,04219,001,0207001,,,AV. AFONSO PETSCHOW,PR,08007032425,4736452524,1260150894,,J,www.riverplast.ind.br,riverplast@riverplast.ind.br,S,,,,,7,0,,3750,,0,99,99,99
000043,SOFAPE FABRICANTE DE FILTROS LTDA,VOX,BONSUCESSO,07251250,,,04155026000321,03477,001,0207001,,,AV. AMANCIO GAIOLLI,SP,0800116964,1121455700,336571473116,,J,www.sofape.com.br,,S,,,,,7,0,,1825-C,,0,99,99,99
000044,SOLOPES IND E COM DE PECAS AUTOMOTIVAS LTDA ME,SOLOPES - BIELETAS,VILA SALETE,03616010,,,05619430000100,03477,001,0207001,CLAUDIO ALLANA REPRE,,RUA MANUEL JORGE RIBEIRO,SP,1126871865,1126845498,116579592119,"RENATA - 26/11/2019 / NF 30/70, PARTE ESPECIAL DEPOSITO REPRESENTANTE CAIU.",J,www.solopes.com.br,vendas@solopes.com.br,S,,,,,7,0,,49,,0,99,99,99
000045,FACOBRAS INDUSTRIA E COMERCIO LTDA EPP,FACOBRAS,VILA PINDORAMA,06413000,,,60691094000114,03329,001,,,,AV. CACHOEIRA,SP,1135560644,1135560676,206052495115,,J,ww.facobras.com.br,,S,,,,,7,0,ENTRADA PELA RUA AFONSO C,667,,0,99,99,99
000046,HBF DISTRIBUIDORA DE AUTOPECAS LTDA - UNIFAP,UNIFAP - PORTA ESCOVA,AEROPORTO,83040550,,,12085709000205,04259,001,0207001,SERVO,,AV. RUI BARBOSA,PR,4733328179,4733328383,9054200975,,J,www.unifap.com.br,unifap@unifap.com.br,S,,,,,7,0,,7969,,0,99,99,99
000047,ZM S.A.,ZM,STEFFEN,88355100,,,76812379000104,04356,001,0207001,SERVO,,RUA GUILHERME STEFFEN,SC,4732512980,4732512900,250976790,VENDDOR SERVO - NAO TEM ESPECIAL -  FRETE CIF,J,www.zm.com.br,vendas@zm.com.br,S,01014990,,,,6,0,,800,,0,99,99,99
000048,DOFAB USINAGEM E ESTAMPARIA LTDA,DOFAB,PARQUE SAO LOURENCO,08340145,,,71682017000114,03827,001,0207001,SERVO,,RUA FORTE DA RIBEIRA,SP,,1120108392,113806551114,"RAFAEL 15/01/2020
REPRESENTANTE: SERVO ASSESSORIA COMERCIAL
Fone: (75) 3623-0627 - Wpp: (75) 99713-6666
Skype - Tatiane Servo RepresentaAAes
FRETE: FOB
IPI: 5%
PRAZO: AVISTA COM 14 DIAS
ESPECIAL: 70%",J,www.dofab.com.br,contato@dofab.com.br,S,01015252,,,,7,0,,521,,0,99,-1,-1
000049,CDG COMPONENTES AUTOMOTIVOS LTDA - GAUSS,GAUSS,CHAPADA,83707752,,,09512164000172,04259,001,0207001,VISAC,,AV. DAS ARAUCARIAS,PR,,4135526080,9043902080,"RAFAEL: 29/11/19 
REPRESENTANTE: VISAC 
EMAIL: VISAC@VISAC.COM.BR
DESCONTO APLICADO: 60+10+5+4+5 DO AVISTA
PRAZO: 25 DIAS 
FRETE:CIF",J,www.gauss.ind.br,,S,00093648,,,,7,0,Galpao A4 Bloco A,375,,0,99,99,99
000050,INDUSTRIA METALURGICA ALLI LTDA - IMA,IMA,JARDIM VILA FORMOSA,03460000,,,43592823000166,03827,001,0207001,,,RUA REGO BARROS,SP,,1133893333,108909444116,VENDEDOR MARQUINHO - NAO TEM ESPECIAL - FRETE CIF,J,www.ima.ind.br,sac@ima.ind.br,S,01012614,,,,7,0,,600,,0,99,99,99
000051,DS SCHIAVETTO & CIA LTDA,DS,DIST. IND. ULISSES GUIMARAES,15092606,,,05819698000195,03821,001,0207001,BCR,,AV. JOSE ABBAS CASSEB,SP,,1732271446,647431156113,"BCR BERNARDINO COMERCIO E REPRESENTAAAES LTDA ME - Salvador / BA
bcr@bcrbernardino.com.br
(71) 3329-2222 ou (71) 9144-9606
RAFAEL 05/02/2020:
FRETE: CIF
NAO TEM PARTE ESPECIAL 
DESCONTO APLICADO: 50+10+5+5",J,www.ds.ind.br,,S,01010417,17981034179,,,7,0,,75,,0,99,99,99
000052,ACERO INDUSTRIA E COMERCIO DE PECAS AUTOMOTIVA LTD,ACERO - TANQUES,NCLEO RESIDENCIAL ISABELA,06780110,,,08532678000127,03853,001,0207001,,,AV. ALBERT EINSTEIN,SP,,1142453571,675158247110,,J,,,S,,,,,7,0,GALPAO 2 - BLOCO A,80,,0,99,99,99
000053,RA IND E COM DE PECAS ELETRICAS LTDA - INDUTEC,INDUTEC - INDUZIDO ESTATOR ROTOR,OESTE - DISTRITO INDUSTRIAL,17280000,,,05169161000127,03678,001,0207001,,,AV. DR. RAUL D. PIMENTEL,SP,,1432838707,515076094110,"SAC - SERVO REPRESENTAAAES (Domingos da Silva Servo)
Contato: Morgana / Vitor
Cel: (75) 8176 2315
Fone/Fax: (75) 3623 0627",J,www.indutecinduzidos.com.br,sac@indutecinduzidos.com.br,S,,,,,7,0,DISTRITO INDUSTRIAL,206,,0,99,99,99
000054,VIRTUAL PLASTICOS LTDA - VP,VIRTUAL PLASTICOS - VP,CASA VERDE MADIA,02521090,,,02601566000102,03827,001,0207001,SERVO - FATIMA,,DAS MACIEIRAS,SP,,1139517747,115234208119,"Servo RepresentaAAes Ltda.
Contato: FATIMA
Telefone: (075) 3623-3194
RAFAEL 05/02/2020:
FRETE: FOB
PRAZO: 14 DIAS
30% COM ESPECIAL
DESCONTO APLICADO: 50+11,83+5+5+5

Cel: (075) 8106-9219
e-mail: servo@servo.com.br
e-mail: visac@visac.com.br",J,http://www.vp.ind.br/,vp@vp.ind.br,S,00001957,,,,7,0,B,181,,0,99,99,99
000055,TANCLICK IND E COM DE AUTOPECAS LTDA,TANLCLICK,FREGUESIA DO O,02734000,,,00809895000100,03894,001,0207001,SERVO - FATIMA,,AV. ITABERABA,SP,1139326719,1139317988,114437452117,"SERVO Assessoria Comercial - Vitor / Aline
Rua Catu, 105A - Bairro Baraunas Feira de Santana - BA / CEP: 44020-015 
Fone: (75) 3626 6711 / (75) 3623 3194/ (75) 3614 2691 / (75) 3614 2693
RAFAEL 18/01/2020
NAO TEM PARTE ESPECIAL
FRETE: FOB
DESCONTO APLICADO: 45+10+9+11,83+3%

Celular: (75) 8176 5011
vendas@servo.com.br",J,www.tanclick.com.br,tanclick@tanclick.com.br,S,,,,,7,0,,363,,0,99,99,99
